name,url,format,license_as_stated,downloadable_now,file_size,notes
Steam Turbine (animated internal mechanics) by CanopyCreative,https://sketchfab.com/3d-models/steam-turbine-2471ad99fcf64ec286684784a80f85fe,"glTF, GLB",View Only / Standard Sketchfab License,NO,N/A (~10 MB stream),Download disabled by author on Sketchfab; view-only animated 3D model showing steam flow-path and casing styling reference.
Steam Turbine by landinweaver,https://sketchfab.com/3d-models/steam-turbine-bcc264eafbe4412d9c061d6d97f30b99,"glTF, GLB, USDZ, FBX",Creative Commons Attribution (CC-BY 4.0),NO,~15 MB (173.7k tris),"Stated CC-BY 4.0 license, but download is blocked behind Sketchfab account authentication/login dialog; cannot download directly without credentials."
Steam Turbine Generator Skoda 35 MW + Tour 360,https://sketchfab.com/3d-models/steam-turbine-generator-skoda-35-mw-tour-360-7f0b3504d36945c5949a855106ecb1c7,"glTF, GLB",View Only / Standard Sketchfab License,NO,N/A (~25 MB stream),Download disabled by author on Sketchfab; large utility-scale condensing turbine set (Szombierki CHP plant); environment and scale mood reference only.
Sketchfab Steam Turbine Repository Tag,https://sketchfab.com/tags/steamturbine,"glTF, GLB, FBX, OBJ, blend","Mixed (CC0, CC-BY, CC-BY-NC, Store)",NO,Varies (5 MB - 150 MB),Tag aggregator page; downloads require Sketchfab user login; individual models have varying licenses including NonCommercial restrictions.
Sketchfab Steam Turbine Downloadable Filter Search,https://sketchfab.com/search?q=steam+turbine&features=downloadable,"glTF, GLB, FBX, OBJ, blend","Mixed (CC0, CC-BY, CC-BY-NC, Store)",NO,Varies (5 MB - 150 MB),Filtered search for downloadable steam turbine assets; requires Sketchfab login for free downloads; licenses vary per model.
GrabCAD Steam Turbine Tag Collection (URL 1),https://grabcad.com/library/tag/steam%20turbine,"STEP, IGES, SLDPRT, SLDASM",GrabCAD Community Terms of Use,NO,Varies (2 MB - 50 MB),GrabCAD requires login and its own terms are ambiguous on commercial use even for free downloads; models require CAD import and retopology/decimation.
GrabCAD Steam Turbine Tag Collection (URL 2),https://grabcad.com/library/tag/steam-turbine,"STEP, IGES, SLDPRT, SLDASM",GrabCAD Community Terms of Use,NO,Varies (2 MB - 50 MB),GrabCAD library tag page; requires account login; commercial rights ambiguous under Stratasys/GrabCAD community terms.
Tripo AI Steam Turbine Gallery,https://studio.tripo3d.ai/3d-model-gallery/steam-turbine,"STL, FBX, GLB, OBJ, 3MF, USDZ",Tripo AI Terms of Service (Proprietary / Subscription),NO,Varies (5 MB - 30 MB),AI-generated 3D blockout meshes; downloading and commercial use requires account login and paid generation/export subscription credits.
TurboSquid Free glTF Steam Turbine Models (Search 1),https://www.turbosquid.com/Search/3D-Models/free/steam-turbine-model/gltf,"glTF, blend, FBX, OBJ",TurboSquid Royalty Free / Editorial Use Only,NO,Varies (5 MB - 60 MB),Requires free TurboSquid account registration and login; downloads bound by TurboSquid 3D Model License Agreement with editorial restrictions on select items.
TurboSquid Free glTF Industrial Steam Turbine Models (Search 2),https://www.turbosquid.com/Search/3D-Models/free/industrial-steam-turbine/gltf,"glTF, blend, FBX, OBJ",TurboSquid Royalty Free / Editorial Use Only,NO,Varies (5 MB - 60 MB),Industrial turbine query; requires user account login; subject to TurboSquid licensing terms and conditions.
GrabCAD Gear Reducer Models,https://grabcad.com/library/tag/gear%20reducer,"STEP, IGES, SLDPRT, STL",GrabCAD Community Terms of Use,NO,Varies (2 MB - 30 MB),Industrial speed reducers; GrabCAD requires login and terms are ambiguous for commercial use; high-poly CAD requires remeshing.
GrabCAD Gearbox Models,https://grabcad.com/library/tag/gearbox,"STEP, IGES, SLDPRT, SLDASM",GrabCAD Community Terms of Use,NO,Varies (5 MB - 40 MB),Enclosed helical and parallel-shaft gear unit CAD models; GrabCAD requires login and commercial terms are ambiguous.
GrabCAD Planetary Gearbox Search,https://grabcad.com/library?utf8=%E2%9C%93&query=planetary%20gearbox,"STEP, IGES, SLDPRT, SLDASM",GrabCAD Community Terms of Use,NO,Varies (5 MB - 50 MB),Planetary gear assemblies; requires GrabCAD account login; terms ambiguous on commercial usage.
Elecon Custom Turbo Gearbox Units (Artec Machine),https://www.artec-machine.com/custom-turbo-gearbox-units-elecon-api-double-helical-gear-systems/,"HTML, Web Brochure, Technical Specifications",Proprietary / All rights reserved (Artec Machine Systems),NO,N/A (Webpage),Commercial OEM technical reference for AGMA 6011 / API 613 high-speed turbo gear units; used for casing split-line and offset shaft proportions.
GrabCAD Eddy Current Dynamometer Models,https://grabcad.com/library/tag/eddy%20current,"STEP, IGES, SLDPRT, SLDASM",GrabCAD Community Terms of Use,NO,Varies (2 MB - 25 MB),Eddy-current brake/absorber CAD models; GrabCAD requires login and commercial terms are ambiguous.
